FID,SR_01_1,SR_01_2,SR_01_3,SR_01_4,SR_01_5,SR_01_6,SR_01_7,SR_02_1,SR_02_2,SR_02_3,SR_02_4,SR_02_5,SR_02_6,SR_02_7,SR_03_1,SR_03_2,SR_03_3,SR_03_4,SR_03_5,SR_03_6,SR_03_7,SR_04_1,SR_04_2,SR_04_3,SR_04_4,SR_04_5,SR_04_6,SR_04_7,SR_05_1,SR_05_2,SR_05_3,SR_05_4,SR_05_5,SR_05_6,SR_05_7,SR_06_1,SR_06_2,SR_06_3,SR_06_4,SR_06_5,SR_06_6,SR_06_7,SR_07_1,SR_07_2,SR_07_3,SR_07_4,SR_07_5,SR_07_6,SR_07_7,SR_08_1,SR_08_2,SR_08_3,SR_08_4,SR_08_5,SR_08_6,SR_08_7,SR_09_1,SR_09_2,SR_09_3,SR_09_4,SR_09_5,SR_09_6,SR_09_7,SR_10_1,SR_10_2,SR_10_3,SR_10_4,SR_10_5,SR_10_6,SR_10_7,SR_11_1,SR_11_2,SR_11_3,SR_11_4,SR_11_5,SR_11_6,SR_11_7,SR_12_1,SR_12_2,SR_12_3,SR_12_4,SR_12_5,SR_12_6,SR_12_7,L
1354,0.584880054,0.596802175,0.575641334,0.60012126,0.580001414,0.061537445,0.077346072,0.456265956,0.464075983,0.448126435,0.472683966,0.471150786,0.073957212,0.074293688,0.027071817,0.050865717,0.113060698,0.167216897,0.239920661,0.174343497,0.143997848,0.036383882,0.047213942,0.067714252,0.090551242,0.136621505,0.193615347,0.166106537,0.169996381,0.167470858,0.172296643,0.181692943,0.22028318,0.12527445,0.124890856,0.041313197,0.044444785,0.057322893,0.064703941,0.128630862,0.176486969,0.1498449,0.055676542,0.048573542,0.069721401,0.061873671,0.303400159,0.098529644,0.064588539,0.003052199,0.017884253,0.055931441,0.047760885,0.26221481,0.087363474,0.053100355,0.00871406,0.012007479,0.0291133,0.020960608,0.213022962,0.091820233,0.041066635,0.029102255,0.046146613,0.073884949,0.094687052,0.154505074,0.138769791,0.095774241,0.022108085,0.028735589,0.040738635,0.054420352,0.08486744,0.123269185,0.10271211,0.625089467,0.639230192,0.611787319,0.635289907,0.616332114,0.12587969,0.139688447,5
1524,0.497332901,0.497443765,0.47295779,0.490297705,0.486723036,0.052347004,0.066459142,0.461041689,0.454880148,0.42469734,0.438820302,0.425080955,0.058339767,0.061730344,0.131748274,0.140546203,0.171070173,0.190224439,0.22814694,0.092998877,0.086748466,0.030661702,0.039545752,0.060115229,0.080647931,0.125892311,0.169565231,0.146596029,0.063196264,0.06540864,0.093372703,0.113002717,0.176901892,0.113641754,0.106170513,0.03258292,0.042413313,0.069843017,0.085747465,0.174140021,0.192961887,0.158811718,0.063528843,0.057524391,0.074817076,0.068060502,0.288051218,0.094144084,0.063072003,0.003040737,0.019395124,0.057077862,0.050298415,0.242331788,0.086470723,0.05395472,0.009041891,0.013285656,0.03124539,0.026286453,0.179449081,0.096015111,0.048319966,0.029003626,0.047383592,0.078219339,0.101837203,0.164738297,0.151166871,0.109216496,0.024987767,0.038034797,0.061307184,0.08641915,0.143343464,0.162257984,0.121927664,0.625344932,0.652723432,0.648922324,0.684349775,0.693588257,0.089480072,0.109358452,3
380,0.469415575,0.479090035,0.460140765,0.479592055,0.462446809,0.046740822,0.060090326,0.424222827,0.433497339,0.415891111,0.431783766,0.417590916,0.051536046,0.05563511,0.212462857,0.230954513,0.247884274,0.281835496,0.308765084,0.087654583,0.075761616,0.02653083,0.040645324,0.062009655,0.08685948,0.140473068,0.158617839,0.115093894,0.245216876,0.240214631,0.229916602,0.227100223,0.234991848,0.096534856,0.106321119,0.000117836,0.008279183,0.024343846,0.022786975,0.052420337,0.025367104,0.01685968,0.010305489,0.010379645,0.046792444,0.027937634,0.234206498,0.088982411,0.062554471,0.018832026,0.032090433,0.068439595,0.063771553,0.215087295,0.073564596,0.053257775,0.006837122,0.013424988,0.036333829,0.03984056,0.166470006,0.076844484,0.043350615,0.000715469,0.014624231,0.03215741,0.04024563,0.060030054,0.051320575,0.04210382,0.017175931,0.022743717,0.03177062,0.041387174,0.06321957,0.094414741,0.081547342,0.518942416,0.53089571,0.509697139,0.526654482,0.50327301,0.044220943,0.062612027,2
1182,0.397005439,0.399177939,0.379264683,0.388215154,0.375320077,0.037614413,0.049546175,0.388159335,0.392894983,0.374746621,0.384022206,0.365509033,0.038672354,0.045612063,0.15952839,0.17110993,0.185385674,0.205198616,0.219314203,0.079281762,0.071397357,0.038976468,0.04528448,0.05890426,0.073389485,0.104608469,0.121430367,0.10359662,0.038210515,0.038730588,0.056696981,0.068798602,0.107029267,0.066358387,0.065143526,0.024774337,0.03131691,0.046305221,0.056583747,0.101032652,0.142972574,0.121786259,0.014066325,0.009912205,0.031116324,0.024965219,0.235286027,0.072244994,0.04247706,0.001147258,0.014011323,0.040584411,0.036524121,0.163855582,0.054928895,0.037112135,0.005429015,0.008695736,0.021624779,0.01672088,0.157673746,0.066763602,0.032319855,0.007036029,0.015187353,0.028151175,0.039728675,0.084086172,0.083405957,0.052690074,0.014463455,0.020950221,0.032271322,0.04458243,0.071963526,0.096177272,0.077677868,0.46609354,0.480745316,0.467017978,0.489121556,0.482384861,0.086290218,0.09948051,4
509,0.459753901,0.467374116,0.448669493,0.467151433,0.451510668,0.048167247,0.057149835,0.426335543,0.434506565,0.407306969,0.426612377,0.407636374,0.04989386,0.053379767,0.223139599,0.237941682,0.250422597,0.279699981,0.300799578,0.08287894,0.074827522,0.024394393,0.036613811,0.055310428,0.076763742,0.124456257,0.153900057,0.116813242,0.20481804,0.201085478,0.194161788,0.194620416,0.208816648,0.078138098,0.085326158,0.001277568,0.008501144,0.024686633,0.023242682,0.060610723,0.043293189,0.027769204,0.010956001,0.013683194,0.042229164,0.016711606,0.211670339,0.062092923,0.041592177,0.00027224,0.011833434,0.04625826,0.041754257,0.211219132,0.070888937,0.044072878,0.005118274,0.011642465,0.034634367,0.036246464,0.166742578,0.076088369,0.042307623,0.014693845,0.026598029,0.044194575,0.053938318,0.076834306,0.054881126,0.046957288,0.020981846,0.025463507,0.033899065,0.042933628,0.065184593,0.103793696,0.093746662,0.478507638,0.488116413,0.467425495,0.48419705,0.463935584,0.035737731,0.056022685,4
1063,0.439909428,0.447909266,0.429783046,0.444766581,0.429543346,0.045077495,0.05520032,0.399063081,0.404576868,0.379156142,0.394679219,0.377103031,0.044365916,0.049093224,0.073064804,0.088941894,0.122615643,0.156925082,0.203539625,0.129110426,0.11013104,0.022897385,0.029644983,0.04285958,0.057435982,0.090300709,0.130048171,0.109207414,0.088005118,0.087213136,0.097979151,0.10468509,0.13376449,0.067949928,0.068801917,0.027113933,0.032162983,0.04572824,0.055596232,0.097824708,0.137725934,0.117691867,0.022153465,0.01687411,0.044809774,0.035978965,0.243292958,0.097475782,0.065265171,0.003730642,0.015976204,0.047579307,0.040497113,0.221002743,0.076933727,0.04581093,0.006633772,0.009522759,0.023956409,0.016896466,0.166945323,0.073374622,0.033376474,0.000736733,0.011338318,0.025565544,0.034058165,0.057908881,0.048180625,0.033313751,0.015080094,0.020331865,0.030330205,0.040263634,0.062741593,0.089669757,0.075542465,0.45653367,0.465333104,0.443414718,0.457941473,0.438149452,0.034055226,0.052725121,3
1120,0.474759817,0.485693306,0.474409193,0.499883384,0.500426471,0.067037918,0.077973746,0.433681637,0.440350443,0.414479762,0.436479807,0.429584175,0.072888546,0.076484166,0.093861878,0.107396454,0.144539788,0.190730616,0.254796445,0.166193768,0.145087495,0.03646021,0.048003331,0.071655624,0.096822709,0.147358537,0.195515618,0.167635202,0.101147078,0.100001246,0.119235218,0.130436867,0.171867922,0.09369687,0.092936039,0.033309165,0.044497084,0.072595209,0.092386045,0.156089798,0.193134591,0.162084803,0.091881879,0.089342706,0.104094155,0.099586457,0.308701009,0.119947918,0.083031453,0.011634584,0.02698875,0.067851461,0.063297912,0.263452083,0.100530632,0.065809585,0.016827499,0.023631459,0.051197916,0.058854375,0.186557516,0.11937958,0.075970836,0.083088756,0.091829173,0.109958552,0.125704587,0.164525419,0.137270629,0.108989172,0.025373122,0.035385415,0.056977499,0.077591039,0.113881864,0.144040212,0.118687488,0.594561279,0.613034427,0.595182359,0.623910606,0.610981047,0.099905007,0.120319165,6
1424,0.345684975,0.343881011,0.328722984,0.371000111,0.420782,0.091837995,0.083651252,0.366414517,0.370989144,0.364048094,0.395231754,0.42187652,0.090698123,0.079494633,0.044404626,0.062081624,0.110894129,0.163269252,0.24263975,0.161411613,0.130511254,0.033375748,0.044966999,0.066008627,0.092095129,0.148655742,0.196830258,0.147969618,0.173550114,0.171389997,0.178033993,0.187452763,0.230565876,0.112718746,0.114317879,0.034239251,0.036813252,0.052730251,0.049228124,0.178667873,0.151851252,0.112707756,0.184654623,0.178472638,0.189707741,0.180214763,0.343775123,0.154913381,0.121190131,0.00486925,0.018228749,0.057549618,0.047747247,0.256858647,0.095059618,0.056831874,0.013457499,0.017219499,0.039548125,0.0344675,0.195999742,0.117439128,0.062490005,0.02923975,0.048062123,0.082113996,0.109871134,0.182018742,0.19539611,0.141265124,0.031542879,0.046245746,0.07126525,0.103423752,0.170684621,0.196214229,0.136871994,0.555837274,0.562939107,0.532954514,0.5535478,0.536158264,0.116461501,0.130005255,4
1175,0.398819566,0.399444222,0.376242489,0.395071715,0.393354893,0.05329543,0.063159682,0.391596079,0.396141082,0.381887823,0.399585634,0.393529385,0.054720715,0.05881625,0.184409544,0.206275165,0.23196882,0.25804472,0.280987203,0.084778607,0.075754285,0.022117501,0.031116284,0.047865361,0.065926187,0.106890187,0.13855131,0.105520688,0.069455214,0.070282176,0.088540994,0.101317905,0.153642938,0.090137176,0.086709492,0.028792143,0.034419037,0.049155109,0.05718118,0.122576959,0.152337477,0.12771906,0.230005726,0.234997347,0.240881592,0.240462005,0.380102277,0.212322831,0.163016111,0.004525471,0.01998507,0.058496468,0.051011749,0.207668245,0.083297528,0.05620807,0.015422429,0.020634068,0.042556282,0.042443141,0.155906573,0.122603677,0.080938429,0.016039215,0.028558001,0.051677246,0.067776926,0.108780995,0.127830639,0.10637632,0.020799464,0.027997393,0.041789431,0.058300823,0.095348433,0.131136939,0.107302293,0.566146016,0.58932817,0.579211295,0.61290431,0.614921272,0.117706329,0.131490871,4
1234,0.525897026,0.537018478,0.513564169,0.530385673,0.50237608,0.048271034,0.06602478,0.47219339,0.481364906,0.459954619,0.472047865,0.448539495,0.050587244,0.059160877,0.259931892,0.276592433,0.287056655,0.31149298,0.322703868,0.068410836,0.066176958,0.020816034,0.030479664,0.045034058,0.060066793,0.094669737,0.131137609,0.108136356,0.068019338,0.06870281,0.093591318,0.093234777,0.126241505,0.06535659,0.067930304,0.000587271,0.007811117,0.023844864,0.023408292,0.057434656,0.02832289,0.018439509,0.024678376,0.020288117,0.045713898,0.042122405,0.210349604,0.06796737,0.050655913,0.015218453,0.029012848,0.063228652,0.059264783,0.189531699,0.064311273,0.048712566,0.004391942,0.012827889,0.038536116,0.041501235,0.172442928,0.081023775,0.045787841,0.023946678,0.041713737,0.068944745,0.0888189,0.134399101,0.124320067,0.095504053,0.016566275,0.023645751,0.034545831,0.046029139,0.073005468,0.104806155,0.087903492,0.483605534,0.479593933,0.431861311,0.435645223,0.406617075,0.058877364,0.082651958,2
